     sec               kgf         kgf/mm2              mm               %          Spare1          Spare2
==========================================================================================================
   1.105	     0.565	     0.080	     3.760	    15.041	   0.00000	   0.00000
   1.125	     0.571	     0.081	     3.860	    15.442	   0.00000	   0.00000
   1.130	     0.572	     0.081	     3.885	    15.542	   0.00000	   0.00000
   1.135	     0.574	     0.081	     3.911	    15.642	   0.00000	   0.00000
   1.140	     0.575	     0.081	     3.923	    15.692	   0.00000	   0.00000
   1.145	     0.576	     0.081	     3.936	    15.742	   0.00000	   0.00000
   1.150	     0.579	     0.082	     3.973	    15.893	   0.00000	   0.00000
   1.155	     0.580	     0.082	     3.986	    15.943	   0.00000	   0.00000
   1.160	     0.581	     0.082	     3.998	    15.993	   0.00000	   0.00000
   1.165	     0.584	     0.082	     4.023	    16.093	   0.00000	   0.00000
   1.170	     0.585	     0.083	     4.036	    16.144	   0.00000	   0.00000
   1.175	     0.586	     0.083	     4.061	    16.244	   0.00000	   0.00000
   1.180	     0.587	     0.083	     4.073	    16.294	   0.00000	   0.00000
   1.185	     0.590	     0.083	     4.111	    16.444	   0.00000	   0.00000
   1.200	     0.595	     0.084	     4.161	    16.645	   0.00000	   0.00000
   1.220	     0.601	     0.085	     4.236	    16.946	   0.00000	   0.00000
   1.240	     0.608	     0.086	     4.312	    17.247	   0.00000	   0.00000
   1.255	     0.612	     0.086	     4.362	    17.447	   0.00000	   0.00000
   1.260	     0.613	     0.087	     4.387	    17.547	   0.00000	   0.00000
   1.265	     0.615	     0.087	     4.412	    17.648	   0.00000	   0.00000
   1.270	     0.617	     0.087	     4.437	    17.748	   0.00000	   0.00000
   1.275	     0.618	     0.087	     4.450	    17.798	   0.00000	   0.00000
   1.280	     0.619	     0.087	     4.462	    17.848	   0.00000	   0.00000
   1.285	     0.622	     0.088	     4.487	    17.948	   0.00000	   0.00000
   1.290	     0.623	     0.088	     4.512	    18.049	   0.00000	   0.00000
   1.295	     0.624	     0.088	     4.537	    18.149	   0.00000	   0.00000
   1.300	     0.625	     0.088	     4.562	    18.249	   0.00000	   0.00000
   1.305	     0.628	     0.089	     4.600	    18.400	   0.00000	   0.00000
   1.310	     0.629	     0.089	     4.612	    18.450	   0.00000	   0.00000
   1.320	     0.633	     0.089	     4.638	    18.550	   0.00000	   0.00000
   1.340	     0.639	     0.090	     4.738	    18.951	   0.00000	   0.00000
   1.360	     0.644	     0.091	     4.863	    19.453	   0.00000	   0.00000
   1.380	     0.649	     0.092	     4.963	    19.854	   0.00000	   0.00000
   1.385	     0.651	     0.092	     5.014	    20.054	   0.00000	   0.00000
   1.390	     0.652	     0.092	     5.026	    20.104	   0.00000	   0.00000
   1.395	     0.653	     0.092	     5.039	    20.154	   0.00000	   0.00000
   1.400	     0.655	     0.092	     5.064	    20.255	   0.00000	   0.00000
   1.405	     0.657	     0.093	     5.089	    20.355	   0.00000	   0.00000
   1.410	     0.658	     0.093	     5.114	    20.455	   0.00000	   0.00000
   1.415	     0.659	     0.093	     5.126	    20.505	   0.00000	   0.00000
   1.420	     0.660	     0.093	     5.139	    20.555	   0.00000	   0.00000
   1.425	     0.662	     0.093	     5.189	    20.756	   0.00000	   0.00000
   1.430	     0.663	     0.094	     5.202	    20.806	   0.00000	   0.00000
   1.435	     0.664	     0.094	     5.214	    20.856	   0.00000	   0.00000
   1.445	     0.668	     0.094	     5.214	    20.856	   0.00000	   0.00000
   1.465	     0.673	     0.095	     5.289	    21.157	   0.00000	   0.00000
   1.485	     0.679	     0.096	     5.390	    21.558	   0.00000	   0.00000
   1.505	     0.683	     0.096	     5.465	    21.859	   0.00000	   0.00000
   1.510	     0.685	     0.097	     5.502	    22.009	   0.00000	   0.00000
   1.515	     0.686	     0.097	     5.515	    22.060	   0.00000	   0.00000
   1.520	     0.687	     0.097	     5.527	    22.110	   0.00000	   0.00000
   1.525	     0.688	     0.097	     5.540	    22.160	   0.00000	   0.00000
